eps1,eps2,i,j,freq_MHz,strength,a_J,a_F1,a_F,a_ef,a_mF,a_parity,b_J,b_F1,b_F,b_ef,b_mF,b_parity
sigma+,pi,55,56,0.049638,3.159897e-07,3,3,3.5,f,-0.5,+1,3,3,3.5,f,+0.5,+1
sigma+,pi,56,57,0.049715,2.510954e-03,3,3,3.5,f,+0.5,+1,3,3,3.5,f,+1.5,+1
sigma+,pi,57,58,0.049790,8.155269e-03,3,3,3.5,f,+1.5,+1,3,3,3.5,f,+2.5,+1
sigma+,pi,58,59,0.049864,1.078472e-02,3,3,3.5,f,+2.5,+1,3,3,3.5,f,+3.5,+1
sigma+,pi,74,75,0.052498,6.688626e-03,4,4,3.5,f,+2.5,-1,4,4,3.5,f,+3.5,-1
sigma+,pi,73,74,0.052536,5.118515e-03,4,4,3.5,f,+1.5,-1,4,4,3.5,f,+2.5,-1
sigma+,pi,72,73,0.052574,1.615841e-03,4,4,3.5,f,+0.5,-1,4,4,3.5,f,+1.5,-1
sigma+,pi,71,72,0.052613,1.275594e-07,4,4,3.5,f,-0.5,-1,4,4,3.5,f,+0.5,-1
sigma+,pi,70,71,0.052652,1.565615e-03,4,4,3.5,f,-1.5,-1,4,4,3.5,f,-0.5,-1
sigma+,pi,69,70,0.052691,5.061879e-03,4,4,3.5,f,-2.5,-1,4,4,3.5,f,-1.5,-1
sigma+,pi,68,69,0.052731,6.673682e-03,4,4,3.5,f,-3.5,-1,4,4,3.5,f,-2.5,-1
sigma+,pi,44,45,0.054308,1.846315e-01,3,3,3.5,e,-3.5,-1,3,3,3.5,e,-2.5,-1
sigma+,pi,45,46,0.054397,1.418510e-01,3,3,3.5,e,-2.5,-1,3,3,3.5,e,-1.5,-1
sigma+,pi,46,47,0.054485,4.503426e-02,3,3,3.5,e,-1.5,-1,3,3,3.5,e,-0.5,-1
sigma+,pi,47,48,0.054571,6.150623e-06,3,3,3.5,e,-0.5,-1,3,3,3.5,e,+0.5,-1
sigma+,pi,48,49,0.054656,4.339941e-02,3,3,3.5,e,+0.5,-1,3,3,3.5,e,+1.5,-1
sigma+,pi,49,50,0.054740,1.410829e-01,3,3,3.5,e,+1.5,-1,3,3,3.5,e,+2.5,-1
sigma+,pi,50,51,0.054822,1.866553e-01,3,3,3.5,e,+2.5,-1,3,3,3.5,e,+3.5,-1
sigma+,pi,66,67,0.058876,2.052182e-01,4,4,3.5,e,+2.5,+1,4,4,3.5,e,+3.5,+1
sigma+,pi,65,66,0.058919,1.570806e-01,4,4,3.5,e,+1.5,+1,4,4,3.5,e,+2.5,+1
sigma+,pi,64,65,0.058962,4.961540e-02,4,4,3.5,e,+0.5,+1,4,4,3.5,e,+1.5,+1
sigma+,pi,63,64,0.059006,4.364996e-06,4,4,3.5,e,-0.5,+1,4,4,3.5,e,+0.5,+1
sigma+,pi,62,63,0.059051,4.798681e-02,4,4,3.5,e,-1.5,+1,4,4,3.5,e,-0.5,+1
sigma+,pi,61,62,0.059096,1.552376e-01,4,4,3.5,e,-2.5,+1,4,4,3.5,e,-1.5,+1
sigma+,pi,60,61,0.059142,2.047184e-01,4,4,3.5,e,-3.5,+1,4,4,3.5,e,-2.5,+1
sigma+,pi,42,43,0.079362,1.106068e-02,3,3,2.5,f,+1.5,+1,3,3,2.5,f,+2.5,+1
