eps1,eps2,i,j,freq_MHz,strength,a_J,a_F1,a_F,a_ef,a_mF,a_parity,b_J,b_F1,b_F,b_ef,b_mF,b_parity
sigma+,sigma-,118,99,3.598263,2.499446e-02,5,5,5.5,e,-3.5,-1,5,5,4.5,e,-1.5,-1
sigma+,sigma-,131,110,3.600434,5.199067e-04,5,5,5.5,f,-2.5,+1,5,5,4.5,f,-0.5,+1
sigma+,sigma-,119,100,3.605431,2.212756e-02,5,5,5.5,e,-2.5,-1,5,5,4.5,e,-0.5,-1
sigma+,sigma-,132,111,3.607063,4.046647e-04,5,5,5.5,f,-1.5,+1,5,5,4.5,f,+0.5,+1
sigma+,sigma-,120,101,3.612585,1.721762e-02,5,5,5.5,e,-1.5,-1,5,5,4.5,e,+0.5,-1
sigma+,sigma-,133,112,3.613679,2.764551e-04,5,5,5.5,f,-0.5,+1,5,5,4.5,f,+1.5,+1
sigma+,sigma-,121,102,3.619724,1.175906e-02,5,5,5.5,e,-0.5,-1,5,5,4.5,e,+1.5,-1
sigma+,sigma-,134,113,3.620283,1.606694e-04,5,5,5.5,f,+0.5,+1,5,5,4.5,f,+2.5,+1
sigma+,sigma-,122,103,3.626850,6.832081e-03,5,5,5.5,e,+0.5,-1,5,5,4.5,e,+2.5,-1
sigma+,sigma-,135,114,3.626875,7.317844e-05,5,5,5.5,f,+1.5,+1,5,5,4.5,f,+3.5,+1
sigma+,sigma-,136,115,3.633455,2.050593e-05,5,5,5.5,f,+2.5,+1,5,5,4.5,f,+4.5,+1
sigma+,sigma-,123,104,3.633961,3.110823e-03,5,5,5.5,e,+1.5,-1,5,5,4.5,e,+3.5,-1
sigma+,sigma-,124,105,3.641058,8.714552e-04,5,5,5.5,e,+2.5,-1,5,5,4.5,e,+4.5,-1
sigma+,sigma-,86,69,4.446451,9.029619e-04,4,4,4.5,f,-4.5,-1,4,4,3.5,f,-2.5,-1
sigma+,sigma-,76,61,4.449977,2.755686e-02,4,4,4.5,e,-4.5,+1,4,4,3.5,e,-2.5,+1
sigma+,sigma-,87,70,4.455774,1.198837e-03,4,4,4.5,f,-3.5,-1,4,4,3.5,f,-1.5,-1
sigma+,sigma-,77,62,4.459948,3.657560e-02,4,4,4.5,e,-3.5,+1,4,4,3.5,e,-1.5,+1
sigma+,sigma-,88,71,4.465077,1.119158e-03,4,4,4.5,f,-2.5,-1,4,4,3.5,f,-0.5,-1
sigma+,sigma-,78,63,4.469896,3.413458e-02,4,4,4.5,e,-2.5,+1,4,4,3.5,e,-0.5,+1
sigma+,sigma-,89,72,4.474361,8.491020e-04,4,4,4.5,f,-1.5,-1,4,4,3.5,f,+0.5,-1
sigma+,sigma-,79,64,4.479822,2.589024e-02,4,4,4.5,e,-1.5,+1,4,4,3.5,e,+0.5,+1
sigma+,sigma-,90,73,4.483626,5.284638e-04,4,4,4.5,f,-0.5,-1,4,4,3.5,f,+1.5,-1
sigma+,sigma-,80,65,4.489726,1.610889e-02,4,4,4.5,e,-0.5,+1,4,4,3.5,e,+1.5,+1
sigma+,sigma-,91,74,4.492871,2.526036e-04,4,4,4.5,f,+0.5,-1,4,4,3.5,f,+2.5,-1
sigma+,sigma-,81,66,4.499608,7.697775e-03,4,4,4.5,e,+0.5,+1,4,4,3.5,e,+2.5,+1
sigma+,sigma-,92,75,4.502097,7.336971e-05,4,4,4.5,f,+1.5,-1,4,4,3.5,f,+3.5,-1
sigma+,sigma-,82,67,4.509468,2.235213e-03,4,4,4.5,e,+1.5,+1,4,4,3.5,e,+3.5,+1
sigma+,sigma-,52,39,5.823506,2.913770e-03,3,3,3.5,f,-3.5,+1,3,3,2.5,f,-1.5,+1
sigma+,sigma-,44,33,5.827216,5.023824e-02,3,3,3.5,e,-3.5,-1,3,3,2.5,e,-1.5,-1
sigma+,sigma-,53,40,5.838524,3.312596e-03,3,3,3.5,f,-2.5,+1,3,3,2.5,f,-0.5,+1
sigma+,sigma-,45,34,5.843065,5.709848e-02,3,3,3.5,e,-2.5,-1,3,3,2.5,e,-0.5,-1
sigma+,sigma-,54,41,5.853503,2.471513e-03,3,3,3.5,f,-1.5,+1,3,3,2.5,f,+0.5,+1
sigma+,sigma-,46,35,5.858870,4.258897e-02,3,3,3.5,e,-1.5,-1,3,3,2.5,e,+0.5,-1
